2018.03.12.11.55.16,  Creating HP: success
2018.03.12.11.58.27,  reading HP: -8.688690180E-06

2018.03.12.11.58.28, -8.68869018e-06

2018.03.12.11.58.28,  reading HP: -1.531565727E-05

2018.03.12.11.58.28, -1.531565727e-05

2018.03.12.11.58.28,  reading HP: -1.590472101E-05

2018.03.12.11.58.29, -1.590472101e-05

2018.03.12.11.58.29,  reading HP: -8.688690180E-06

2018.03.12.11.58.30, -8.68869018e-06

2018.03.12.11.58.30,  reading HP: -6.185169281E-06

2018.03.12.11.58.31, -6.185169281e-06

2018.03.12.11.58.31,  reading HP: -2.945318705E-06

2018.03.12.11.58.32, -2.945318705e-06

2018.03.12.11.58.32,  reading HP: -1.075041327E-05

2018.03.12.11.58.33, -1.075041327e-05

2018.03.12.11.58.33,  reading HP: -1.369573198E-05

2018.03.12.11.58.33, -1.369573198e-05

2018.03.12.11.58.33,  reading HP: -1.516839133E-05

2018.03.12.11.58.34, -1.516839133e-05

2018.03.12.11.58.34,  reading HP: -1.811371004E-05

2018.03.12.11.58.35, -1.811371004e-05

2018.03.12.11.58.35,  reading HP: -1.487385946E-05

2018.03.12.11.58.36, -1.487385946e-05

2018.03.12.11.58.36,  reading HP: -2.577153867E-05

2018.03.12.11.58.37, -2.577153867e-05

2018.03.12.11.58.37,  writing to HP: LINE?
2018.03.12.11.58.38,  reading HP:  49.9768786E+00

Spread sheet row 6
2018.03.12.11.58.38,  writing to HP: ERR?
2018.03.12.11.58.38,  reading HP: 0

meter ESR = 0


2018.03.12.11.58.38,  writing to HP: DCV 1000.0
2018.03.12.11.58.38,  writing to HP: LFREQ LINE
2018.03.12.11.59.09,  reading HP:  1.765661134E-05

2018.03.12.11.59.09, 1.765661134e-05

2018.03.12.11.59.09,  reading HP:  2.354214845E-05

2018.03.12.11.59.09, 2.354214845e-05

2018.03.12.11.59.09,  reading HP:  2.942768556E-05

2018.03.12.11.59.10, 2.942768556e-05

2018.03.12.11.59.10,  reading HP:  1.471384278E-06

2018.03.12.11.59.11, 1.471384278e-06

2018.03.12.11.59.11,  reading HP:  4.414152834E-06

2018.03.12.11.59.12, 4.414152834e-06

2018.03.12.11.59.12,  reading HP:  2.648491701E-05

2018.03.12.11.59.13, 2.648491701e-05

2018.03.12.11.59.13,  reading HP:  1.471384278E-05

2018.03.12.11.59.14, 1.471384278e-05

2018.03.12.11.59.14,  reading HP:  8.828305669E-06

2018.03.12.11.59.14, 8.828305669e-06

2018.03.12.11.59.14,  reading HP:  2.501353273E-05

2018.03.12.11.59.15, 2.501353273e-05

2018.03.12.11.59.15,  reading HP:  3.384183840E-05

2018.03.12.11.59.16, 3.38418384e-05

2018.03.12.11.59.16,  reading HP:  1.618522706E-05

2018.03.12.11.59.17, 1.618522706e-05

2018.03.12.11.59.17,  reading HP:  4.708429690E-05

2018.03.12.11.59.18, 4.70842969e-05

2018.03.12.11.59.18,  reading HP:  2.207076417E-05

2018.03.12.11.59.19, 2.207076417e-05

2018.03.12.11.59.19,  reading HP:  5.885537113E-06

2018.03.12.11.59.19, 5.885537113e-06

2018.03.12.11.59.19,  reading HP:  3.237045412E-05

2018.03.12.11.59.20, 3.237045412e-05

2018.03.12.11.59.20,  reading HP:  3.678460695E-05

2018.03.12.11.59.21, 3.678460695e-05

2018.03.12.11.59.21,  reading HP: -1.177107423E-05

2018.03.12.11.59.22, -1.177107423e-05

2018.03.12.11.59.22,  reading HP:  1.618522706E-05

2018.03.12.11.59.23, 1.618522706e-05

2018.03.12.11.59.23,  reading HP:  3.531322268E-05

2018.03.12.11.59.24, 3.531322268e-05

2018.03.12.11.59.24,  reading HP:  7.356921391E-06

2018.03.12.11.59.24, 7.356921391e-06

2018.03.12.11.59.24,  writing to HP: LINE?
2018.03.12.11.59.26,  reading HP:  49.9927793E+00

Make safe sent. status is:
Meter True
